year,usa_catch
1955,224
1956,1341
1957,1455
1958,641
1959,342
1960,204
1961,95
1962,145
1963,542
1964,679
1965,1296
1966,1115
1967,1025
1968,577
1969,387
1970,197
1971,698
1972,1667
1973,1417
1974,1539
1975,1139
1976,610
1977,399
1978,156
1979,62
1980,10
