year,usa_catch
1956,722
1957,1222
1958,2908
1959,1632
1960,747
1961,156
1962,165
1963,341
1964,330
1965,266
1966,247
1968,29
1969,18
1970,1
1973,9
1976,25
1977,9
1978,3
